transaction_id,timestamp,merchant_id,cardholder_id,amount,currency,status,merchant_category,country,channel,is_chargeback
f2b80757-4e17-4b47-8f30-32a7b2e002a5,2026-01-23T19:34:45+00:00,M0041,C00053,46.89,USD,declined,health,SG,online,0
618dee6e-b8de-431a-9e5e-4179b92ed250,2026-02-21T02:04:45+00:00,M0038,C00014,30.06,USD,declined,dining,CA,wallet,0
4da9552f-7dad-448e-8744-6a2ddb63b31a,2026-03-18T12:26:45+00:00,M0042,C00004,52.11,USD,approved,utilities,CA,wallet,0
bf9d00e8-7cd6-4d77-9083-aab58003e105,2026-02-13T15:39:45+00:00,M0028,C00053,96.17,USD,approved,grocery,IN,online,0
aa590c2d-35e1-4461-aa96-710eec76e3e1,2026-03-31T19:44:45+00:00,M0023,C00236,28.11,USD,approved,dining,US,pos,0
372b02b5-77ce-4691-ac7a-3b68cbafc3bd,2026-03-04T22:19:45+00:00,M0006,C00186,28.11,USD,approved,dining,CA,wallet,0
63587816-5690-4bbc-aae6-2f12a619a6f1,2026-01-17T20:28:45+00:00,M0005,C00120,100.03,USD,approved,utilities,US,pos,0
b61b57a2-d2a7-4f6c-b53d-107356b61440,2026-02-23T22:51:45+00:00,M0018,C00108,56.67,USD,approved,health,GB,wallet,0
44285c5c-5fe1-443d-acbc-c2d7c49619f4,2026-03-13T16:01:45+00:00,M0044,C00126,23.84,USD,declined,travel,IN,pos,0
9a077824-012c-459d-a696-cf55def66285,2026-04-07T21:54:45+00:00,M0018,C00029,48.41,USD,approved,travel,US,pos,0
e2b3d6af-f03a-46af-b924-079920f4c25d,2026-02-07T01:15:45+00:00,M0026,C00162,23.94,USD,declined,travel,IN,pos,0
9d88a1c4-09a1-4e63-914a-968a4da568ec,2026-02-24T10:44:45+00:00,M0042,C00276,23.9,USD,approved,electronics,SG,pos,0
446eec03-7c0a-40d5-8edb-9f6e21d944ba,2026-02-19T00:52:45+00:00,M0038,C00253,39.23,USD,approved,grocery,US,online,0
0c0d8100-ab11-4c72-9b02-5678862c05a9,2026-03-11T19:02:45+00:00,M0010,C00198,8.68,USD,approved,fuel,SG,pos,0
acfe3830-14b4-4292-950e-ab378c248472,2026-02-05T13:35:45+00:00,M0034,C00059,9.9,USD,approved,health,SG,pos,0
05397a3c-d7d9-4e26-a6c6-5d539ca6295a,2026-03-13T00:34:45+00:00,M0050,C00002,22.34,USD,approved,health,GB,wallet,0
509bf7c6-563d-4f46-a00d-842608dfff15,2026-01-29T22:38:45+00:00,M0049,C00260,26.42,USD,approved,dining,CA,online,1
eccede86-9114-440e-8e3e-e3f742818cf5,2026-03-24T02:05:45+00:00,M0024,C00001,41.26,USD,approved,dining,GB,pos,0
89bf1eac-f0ad-4542-b930-3f4c9e7f4e3a,2026-01-23T20:44:45+00:00,M0002,C00158,20.24,USD,approved,travel,US,online,0
7dbb01c5-44af-4b7d-8595-b7a900505bc8,2026-04-09T21:00:45+00:00,M0037,C00273,7.41,USD,declined,utilities,CA,online,0
1797e941-902a-44b2-ba14-97adfec0a571,2026-02-25T22:38:45+00:00,M0043,C00217,21.31,USD,approved,travel,SG,wallet,0
39d8cbf1-7c33-4ef5-b198-f508a98e404c,2026-01-31T23:47:45+00:00,M0045,C00192,50.32,USD,approved,fuel,SG,pos,0
2a88ddbb-09f4-43d0-8297-60906f4f046c,2026-02-05T05:55:45+00:00,M0008,C00118,198.67,USD,approved,dining,CA,online,0
f9a5cf0b-7a3f-44b0-af8f-354946e6b1d6,2026-03-19T02:40:45+00:00,M0005,C00170,43.64,USD,approved,grocery,SG,online,0
f91b7d90-d51e-4f11-8af8-7d87cac72896,2026-03-15T13:46:45+00:00,M0018,C00293,36.07,USD,approved,dining,IN,online,0
f5701bd6-0e7e-4d2d-bc54-3cfc12789f9d,2026-03-28T04:22:45+00:00,M0031,C00182,23.09,USD,approved,fuel,IN,pos,0
03e0461f-55f6-42ce-8a43-c7f05a589852,2026-01-18T14:42:45+00:00,M0047,C00207,30.62,USD,approved,health,GB,online,0
e7c30b44-51e2-46d3-b280-e0795af86236,2026-01-31T02:54:45+00:00,M0016,C00143,64.28,USD,approved,fuel,CA,online,0
033239af-f175-43ab-93bf-e522a9ab3598,2026-03-28T05:31:45+00:00,M0029,C00277,21.73,USD,approved,utilities,US,online,0
94815261-a17d-4515-9c08-eacb4d002c0a,2026-03-31T22:22:45+00:00,M0049,C00206,173.68,USD,declined,grocery,CA,pos,0
ddae131a-ce81-448b-933c-9b10749d2af2,2026-04-13T08:48:45+00:00,M0001,C00147,22.79,USD,approved,fuel,SG,wallet,0
edee2156-679a-4860-b7a0-3b178f3863cf,2026-02-26T23:30:45+00:00,M0046,C00297,32.99,USD,approved,health,SG,online,0
6e45842b-2620-4862-bd08-9a1a4c4dfffe,2026-02-11T05:26:45+00:00,M0048,C00272,57.22,USD,declined,travel,US,wallet,0
cf7e7825-c379-4303-bdff-d1bf3e042d71,2026-04-01T04:09:45+00:00,M0006,C00121,43.49,USD,approved,fuel,US,wallet,0
9ca014a6-36d3-4905-8aaf-a9d98bc6f84a,2026-03-07T09:02:45+00:00,M0016,C00299,38.33,USD,approved,dining,SG,pos,0
88c574bc-6e5c-44a1-8ce7-05ecab0e3b2f,2026-02-01T06:34:45+00:00,M0017,C00068,8.4,USD,approved,health,GB,pos,0
6293830d-986e-45f4-867c-8340ac460e26,2026-04-08T05:50:45+00:00,M0021,C00289,13.07,USD,approved,grocery,US,wallet,0
1faff142-5c92-47b3-8bb1-c807f6e9cf4b,2026-02-28T17:29:45+00:00,M0014,C00126,38.01,USD,approved,electronics,GB,online,0
80a93dfb-1ece-4c4f-9669-ef8d1eb301e1,2026-03-30T13:42:45+00:00,M0029,C00271,55.53,USD,approved,grocery,SG,pos,0
a004fcee-0347-41a1-9c50-d268a89ef750,2026-01-23T02:39:45+00:00,M0043,C00055,37.34,USD,approved,health,SG,online,0
1daa064a-c2fe-42f4-93c7-bdb860f4b7cc,2026-02-08T07:52:45+00:00,M0018,C00136,30.54,USD,approved,dining,IN,pos,0
93436448-c84f-42b6-9a06-83c4a9300d8a,2026-01-22T01:59:45+00:00,M0004,C00171,26.82,USD,approved,utilities,CA,wallet,0
65ddc50a-5486-4b2a-a150-fa5298d15fe9,2026-01-28T09:20:45+00:00,M0017,C00005,11.76,USD,approved,grocery,US,wallet,0
a5c64a2f-637c-4ef2-81e2-f4e5b1e14b6f,2026-03-04T08:13:45+00:00,M0010,C00221,20.01,USD,declined,travel,US,pos,0
7913001a-0dd9-42a8-9bb9-faf31fa8581a,2026-04-05T12:13:45+00:00,M0024,C00184,23.99,USD,approved,travel,CA,wallet,0
62352391-c333-421a-98e8-7543725de849,2026-02-14T20:59:45+00:00,M0007,C00080,69.41,USD,approved,travel,CA,online,0
0a848493-725a-4c50-8690-36898aa19065,2026-01-15T22:30:45+00:00,M0027,C00211,42.12,USD,approved,utilities,CA,pos,0
d79420b6-a5cc-4651-bdb7-ef75f5cf7c02,2026-03-26T08:24:45+00:00,M0011,C00241,9.64,USD,approved,travel,CA,pos,0
09357427-8169-4177-b37f-072ddf78741a,2026-02-10T11:03:45+00:00,M0023,C00099,41.55,USD,approved,fuel,GB,pos,0
09afb6db-5ae4-459f-bd0a-7ed58ae52fbf,2026-04-11T16:34:45+00:00,M0005,C00275,25.29,USD,approved,electronics,US,online,0
2ae441d5-3182-4c99-b0c2-3255421c5d95,2026-01-29T22:27:45+00:00,M0017,C00223,20.62,USD,approved,electronics,GB,pos,0
03fbabff-22ab-4505-9015-9a9b2d280f20,2026-04-13T06:27:45+00:00,M0039,C00131,50.81,USD,approved,grocery,IN,online,0
9420d62b-2103-48ca-88d2-84f23129a028,2026-04-07T22:18:45+00:00,M0034,C00101,68.15,USD,approved,electronics,IN,online,0
1eefdf3c-dcc4-499e-8376-e94137df3736,2026-04-07T11:49:45+00:00,M0043,C00154,63.55,USD,approved,dining,GB,wallet,0
e9e736a5-c1e5-45bd-8abe-c71b4856e697,2026-02-12T08:55:45+00:00,M0027,C00216,18.4,USD,approved,health,IN,wallet,0
52f96bff-fb8e-455d-8fc2-3c296b0cd3bb,2026-04-05T20:34:45+00:00,M0048,C00001,59.99,USD,declined,electronics,GB,online,0
a76887e8-dbf6-4bdd-81f2-5d3c7e251992,2026-03-26T04:52:45+00:00,M0028,C00227,11.52,USD,approved,health,CA,wallet,0
